Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,OnlineSecurity,StreamingTV,StreamingMovies,MonthlyCharge,Bandwidth_GB_Year,InternetService_DSL,InternetService_Fiber Optic
11333,0,21,9572.9,0,7.144953,12,0,0,0,1,159.9512,5174.273895,0,1
178,1,48,18198.59,1,9.42799205,17,3,0,1,1,252.637807,815.194738,0,1
15703,6,64,17983.82,0,7.970578,11,0,1,1,1,245.1283,6954.344959,1,0
143,0,21,23445.49,0,8.435589,13,4,0,0,1,147.4713,4335.611406,0,0
2031,0,30,25746.6,0,12.56374,15,1,0,1,0,129.9621,4156.493991,1,0
2901,8,33,33971.73,0,2.833788,4,0,1,1,1,225.1457,6089.067076,1,0
4946,1,56,15621.76,1,10.75643368,13,1,1,1,0,144.988941,951.3512058,1,0
17484,2,18,33028.82,0,12.67905,12,0,1,0,1,162.4653,6599.040223,1,0
2138,1,34,109373.69,0,7.953632262,9,2,1,0,1,187.49737,1259.528321,1,0
7532,2,19,78882.46,0,8.103675,12,0,1,0,1,184.961,5824.726674,1,0
6017,3,42,52352.24,1,7.219910689,8,1,1,0,1,194.974431,897.6280912,0,1
0,0,79,74297.66,0,6.808384,13,0,0,0,0,104.9643,704.3641607,1,0
1020,1,71,29732.11,0,6.519561,11,1,0,0,0,124.9643,5804.942334,0,1
31498,1,38,85351.21,0,6.772134,8,1,0,0,1,174.9699,6221.262758,1,0
11400,2,51,64901.11,0,7.267685,10,1,0,0,1,182.447,5179.837965,0,1
8165,1,30,64256.81,1,11.79073041,10,3,0,0,0,159.965581,1582.295235,1,0
1224,0,59,44808.02,0,14.03414,15,1,0,0,0,179.9656,5729.894172,0,1
728,2,58,39103.7,0,3.597954,17,2,0,0,1,159.9512,3771.873422,0,1
297,2,65,55541.84,0,11.76173,15,1,0,1,1,255.1336,6432.504958,1,0
2999,1,47,34469.78,0,11.85962,11,2,0,0,0,147.4601,4883.516353,0,1
30764,1,88,4346.53,1,14.76822,13,1,0,1,1,255.1336,4299.70522,1,0
76973,1,56,78944.18,1,9.263624334,17,2,0,1,0,194.976769,1120.116258,0,1
7885,1,74,23454.98,1,5.371834,13,0,1,1,1,232.6228,1107.738951,0,1
87509,3,61,102629.6,0,8.373844,8,1,0,1,1,220.1615,5135.575997,0,0
4868,0,70,27386.37,0,11.98767,12,4,1,1,1,202.65,1980.207923,1,0
4,4,19,44426.28,1,6.269792565,20,0,0,0,1,202.443347,905.1959227,0,1
481,2,66,79746.71,0,11.86458,11,2,0,0,1,159.965,5809.89619,0,1
46581,2,43,20707.68,0,10.27233,11,1,0,0,0,124.9607,5988.164218,1,0
29,3,70,45249.29,0,9.988954,11,1,0,1,0,217.4725,5683.580246,0,1
5332,2,26,39250.53,0,12.38401,10,2,0,0,0,192.4885,5021.065195,0,1
4173,3,40,130319.3,1,7.01505,9,1,1,1,1,222.6362,5702.684165,0,1
55519,0,75,58482.9,1,8.294186076,13,0,0,0,1,192.470522,409.7486664,0,1
246,5,37,10949.55,0,12.94718,13,0,0,0,0,167.4564,786.0804243,0,1
5698,0,70,32332.63,0,11.82086,15,4,0,0,0,112.4551,4205.731492,0,1
23438,3,72,22780.89,0,8.278435,15,0,0,0,1,182.4762,2288.984083,0,0
288,2,43,15157.92,0,11.88224,14,2,1,1,1,202.65,6814.653649,1,0
5438,3,75,22963.6,0,11.96522,5,1,0,1,1,210.1518,1803.186158,0,0
237,0,44,25727.59,0,13.83786,11,1,0,1,0,162.4713,5757.58642,0,1
10552,2,81,15094.07,0,9.034045,14,1,1,1,0,152.4798,5730.023775,0,1
26902,0,29,36470.53,0,4.254491,15,2,1,0,0,114.9728,798.0189824,0,1
5596,3,45,39804.48,1,4.167453,7,1,1,1,1,257.6549,1134.240308,0,1
1112,1,65,78958.46,0,6.236533,12,2,1,0,1,117.4835,4899.037694,0,0
902,1,82,35180.11,0,7.329087,11,0,1,1,0,152.4952,5485.07682,0,0
627,4,82,17526.85,1,12.94388838,7,0,0,1,1,242.657291,2060.745551,0,0
1061,2,32,58157.76,0,12.76234,13,1,0,1,0,169.9447,1323.764927,0,1
1539,3,82,22121.83,0,10.12157,18,2,1,0,1,149.9598,5767.903799,0,1
9481,0,85,55859.65,0,8.978754052,14,2,1,0,1,142.468917,1794.480836,1,0
1202,2,77,11113.69,0,12.8348374,14,0,1,0,0,172.510442,976.910308,0,1
460,4,59,42760.04,1,5.65608,9,0,1,1,1,225.1457,7084.802797,1,0
266,1,19,28053.3,0,9.614567,13,2,1,0,0,107.4958,1638.668955,1,0
235,1,33,24395.37,0,6.311405,14,1,1,0,0,149.9741,2027.035214,1,0
17923,4,28,49166.12,1,8.227196,11,1,0,1,1,210.1518,2083.424243,0,0
6047,3,47,25130.62,0,10.85783,8,3,0,0,0,104.9781,5812.078197,1,0
7222,0,21,19017.34,1,12.03501573,10,1,0,1,1,197.628838,1495.341126,0,0
788,0,29,29321.25,0,6.961508,15,2,0,0,0,124.9781,5143.298984,0,1
861,4,87,26129.83,0,6.292455476,13,3,1,0,1,162.468917,715.3186358,0,1
293,3,27,49626.73,1,14.07334,11,0,0,0,1,174.9699,1754.124518,1,0
5981,0,71,5902.12,1,8.501483623,10,2,0,1,1,232.62403,1386.523823,1,0
5192,0,32,52543.98,0,5.086843,14,2,1,1,0,207.4673,5777.144351,0,1
3139,1,60,49740.72,0,4.45179,11,0,0,1,1,175.1331,4620.749694,0,0
8071,1,41,32105.64,0,12.78937,16,0,1,1,1,212.6228,5739.181377,1,0
224,3,75,46120.24,0,10.23789,13,1,0,0,0,167.4564,4745.339554,0,1
2393,2,64,16652.32,0,4.541255,8,0,0,1,0,127.4586,4094.782683,0,0
1111,1,63,8460.1,0,4.95574,13,0,0,1,1,242.6106,6123.627846,1,0
14413,0,49,21152.89,0,11.98448,11,2,1,0,1,162.4653,1620.224811,1,0
3622,2,82,30594.26,1,8.081619837,11,0,0,1,1,187.609354,1848.378413,1,0
3294,0,61,60511.95,0,12.13357,15,1,0,1,0,137.4392,5248.831273,0,1
6921,1,84,15048.63,1,8.440399216,9,0,0,1,1,220.114868,1524.945096,1,0
7155,0,23,95198.64,0,12.46017,13,0,0,0,1,182.4608,5367.056964,0,1
22115,1,67,7500.54,0,9.19204,10,1,0,0,0,137.4836,891.754556,1,0
6366,3,39,32221.49,0,9.399095,11,3,0,0,1,159.9512,499.02956,0,1
375,3,76,83600.69,0,13.19842,15,0,1,0,1,182.4653,5034.929065,0,1
22939,0,83,58563.96,0,9.182092,8,1,0,0,0,144.9607,610.2392527,0,1
23612,0,36,34090.55,0,9.479182,13,1,0,1,0,182.4538,4906.344686,0,1
8205,1,67,23011.03,0,10.88926,9,0,0,1,0,184.9634,6411.520424,1,0
35643,1,19,16283.13,0,8.037899,12,2,0,1,0,184.9634,5985.552522,1,0
30815,2,62,10759.62,1,13.18526,12,0,1,1,1,242.6326,4054.139668,0,1
28849,1,63,11288.95,0,9.502103,14,3,1,1,0,139.9568,6036.967859,0,1
1387,4,50,31421.54,0,10.19811,12,0,1,0,1,164.9647,6293.093113,1,0
589,1,73,26231.41,0,10.31976,8,2,1,1,0,152.4798,1427.811261,0,1
19097,1,56,14224.4,0,11.16205,15,0,1,0,1,149.989,413.1912075,0,0
680,3,57,32456.55,0,10.12587,16,1,0,1,0,184.967,3495.239613,0,1
73671,2,51,18970.04,0,6.212122,14,0,0,1,0,169.9447,1456.422162,0,1
29599,0,73,27675.71,1,4.656974,8,1,0,1,1,267.6427,1990.707874,1,0
1955,1,45,48327.1,0,9.570126,8,1,0,1,0,174.9768,2588.430434,1,0
45487,3,85,16055.06,0,3.492741,12,1,0,0,1,169.9378,4130.432282,0,1
2454,0,43,64936.87,0,10.79421,11,0,1,0,0,94.97283,5509.83864,1,0
471,10,66,7974.41,0,8.353322,14,3,1,0,0,160.0013,5456.214913,0,1
112,6,79,24023.55,0,8.588839,12,2,0,0,1,139.965,5863.981501,1,0
18756,1,36,41344.45,0,9.842062,9,2,0,1,0,172.4441,5136.846144,0,1
47459,7,63,51518.48,1,15.35795,12,2,0,0,1,172.4705,1083.905096,1,0
13659,0,64,12416.43,0,8.222393,9,1,0,0,0,124.9607,5123.664714,1,0
11092,1,32,31578.17,0,8.504581001,11,0,0,1,0,162.467607,2062.863163,1,0
21767,3,81,24771.21,0,7.937239,10,1,0,1,1,200.1185,5951.449014,1,0
924,4,79,75907.67,0,15.9948,8,2,0,1,1,287.6427,4539.933056,0,1
1687,3,76,25196.43,0,6.31599,14,0,0,0,1,182.4433,6304.203672,1,0
1187,3,64,50015.49,1,5.523528,8,2,0,1,1,200.1323,1246.012987,1,0
4388,2,88,81187.28,0,6.74053,8,0,0,1,0,149.9621,3954.170646,0,1
1851,0,53,8058.36,0,13.70368,12,3,0,0,1,174.9699,2587.895755,1,0
1353,1,68,92083.74,0,9.295219,10,0,0,0,1,169.9378,5335.845074,0,1
3211,0,83,13133.15,1,12.2074,10,2,1,0,0,139.9875,1459.899487,1,0
33380,2,23,47956.52,1,7.709204,12,0,0,1,1,275.1198,1687.100467,0,1
2678,1,19,37461.63,1,9.424779,8,0,0,1,1,262.6106,1924.414895,0,1
16514,3,56,19011.49,0,9.795444,13,0,1,0,0,95.01949,5940.981382,0,0
266,6,38,21714.62,0,16.23738,8,4,0,0,0,104.9643,6158.129487,1,0
99,0,46,24728.28,0,9.452414,10,1,1,1,1,245.175,1344.476361,0,0
907,0,33,49102.56,0,7.37122,6,1,1,0,1,217.484,5595.740821,0,1
21869,3,45,50766.63,1,13.21732,15,0,0,1,1,262.6106,6241.530828,0,1
4286,0,18,87721.54,0,3.185678,8,0,1,1,0,120.0035,6293.395149,0,0
917,7,60,10026.66,0,7.4962,11,0,0,1,1,200.1652,6075.000814,0,0
13120,3,23,68281.26,0,6.468432,14,0,1,0,0,162.5007,5426.315112,0,1
357,2,39,43029.53,0,14.22477,11,0,0,1,0,117.472,5197.781383,0,0
1052,1,25,63134.48,0,12.73517485,15,1,0,1,0,137.439154,952.3729916,0,1
1197,1,64,7569.75,0,8.8901,11,0,0,0,1,214.9525,5227.515273,0,1
16638,4,55,27019.83,0,11.27833464,13,3,0,0,1,162.446995,1668.779606,1,0
463,1,72,36352.23,0,11.69866136,10,0,1,0,0,127.525,1339.377921,0,0
224,10,55,28643.72,1,5.565705,11,2,1,1,0,199.9902,1997.36133,1,0
12478,2,48,42469.81,0,11.87042081,14,1,1,0,0,160.00128,958.6989908,0,1
22925,2,57,6959.92,0,13.03933816,14,0,0,0,0,112.484375,640.9334119,0,0
3313,0,38,99007.42,0,5.114864238,10,3,0,0,1,149.984492,688.2231899,0,0
2275,4,74,29495.88,0,6.426418,16,1,0,0,0,159.983,6059.960875,0,1
0,1,80,46647.99,0,14.28125681,11,2,0,0,1,127.474951,718.0624099,0,0
123,0,21,40948.07,1,10.31007,12,1,0,1,1,230.1051,814.3727251,0,1
1032,2,28,25214.35,0,6.821288,15,0,0,1,0,137.4392,6014.982252,0,1
84,8,72,97539.36,0,11.7725,12,1,0,1,1,265.147,6556.237246,0,1
636,0,60,9966.89,1,13.78001485,11,0,0,0,1,214.966286,1546.673637,0,1
4518,0,42,69335.71,1,5.619559,12,0,1,0,1,207.4974,1051.673689,0,1
487,0,55,62894.22,0,6.601125,11,1,0,0,0,92.45514,1844.526573,1,0
711,10,69,29758.35,0,15.98941,14,0,0,0,0,114.9838,6034.69613,0,0
13991,1,57,23188.83,0,10.05346,16,1,0,0,1,159.965,347.446058,0,1
2310,10,55,8936.79,0,8.106295,13,2,1,0,0,162.497,6211.784273,1,0
46041,2,53,14908.11,1,7.799113,15,0,1,0,1,197.484,1537.896278,1,0
630,1,59,113028.1,0,11.3049,10,1,1,0,0,129.9915,5072.66967,1,0
34781,4,55,56225.75,0,10.09073,10,1,1,1,0,132.5127,5868.925353,0,0
1111,1,82,124590.0,0,11.63685,10,1,0,1,0,159.9349,4539.697433,0,1
21943,5,86,68325.35,1,12.25181,11,1,1,0,1,194.9744,605.6512541,0,1
15,0,22,57737.27,1,3.267635,11,1,0,1,1,275.1336,960.0935745,0,1
6854,1,39,73624.07,0,13.75454575,8,0,0,0,0,104.97808,1344.903546,1,0
7079,6,30,50258.38,0,13.75498892,11,1,0,0,0,112.455141,639.3261343,0,1
2338,0,25,20801.9,0,9.886595026,13,0,0,0,0,112.455141,500.4406927,0,1
23370,3,79,5694.61,1,7.094794839,10,1,1,0,1,154.991856,1226.543716,1,0
2439,2,66,25100.17,1,8.07133879,7,1,1,1,1,222.649979,3113.451696,0,1
31331,1,23,60985.79,0,6.861589,15,2,1,0,0,104.9923,4858.953812,0,0
1547,3,44,74915.44,1,10.27858,13,0,0,1,1,242.6573,1724.050425,0,0
23,0,37,28158.14,1,4.524233,12,0,0,1,0,194.9768,544.6911156,0,1
87,1,63,37639.9,0,10.93132736,10,0,0,0,0,112.455141,667.4764252,0,1
1875,4,19,38914.23,0,8.850529612,15,2,0,0,1,179.947583,1118.73994,0,1
252,10,33,82708.61,0,10.93098,11,0,1,1,0,162.4818,1058.58579,0,0
30424,1,67,33403.38,0,8.715071,13,1,0,1,1,207.6094,6150.658199,0,1
10228,9,31,25692.2,1,6.696491,13,0,0,1,1,220.1149,2186.78593,1,0
57955,3,56,60109.62,1,15.75679649,11,1,0,1,1,222.61428,1898.286119,1,0
6335,4,21,10719.01,0,8.474787,8,1,1,0,0,104.9923,4824.822478,0,0
115,4,18,16151.73,0,7.692979,9,1,0,1,1,222.6281,6227.256543,1,0
817,7,55,30938.57,0,10.39695,5,0,0,1,1,187.6094,6768.348896,1,0
142,0,64,83953.98,0,10.56770254,14,2,1,0,0,129.977753,853.1123448,1,0
2277,3,65,25491.07,1,17.44685,7,0,0,0,1,192.4705,1544.180199,0,1
15260,5,79,33297.61,1,10.87571686,14,0,1,1,0,197.494455,1428.608241,0,1
56959,2,27,59147.78,1,5.763454353,11,0,1,0,1,164.978458,1932.20577,1,0
73891,0,30,9444.74,0,11.44018,6,1,0,1,0,172.4871,5888.414969,0,0
81,3,37,29101.96,1,5.924693,13,0,0,0,1,159.9512,866.4850145,0,1
203,1,77,85485.94,0,9.908836,16,1,0,0,1,202.4433,805.2130716,0,1
21572,3,84,23978.67,1,8.4926,14,3,0,1,0,172.4579,1042.452905,0,1
14112,4,37,43211.84,0,7.624327,16,1,0,0,1,204.9797,4549.43734,0,1
1372,1,75,71503.36,1,10.95217,7,2,1,1,1,237.6549,2037.626802,1,0
4734,1,73,16368.02,0,10.07963518,14,0,1,0,0,104.992311,1518.747945,0,0
16850,0,36,22289.83,0,6.732913,15,2,1,0,0,139.9875,3794.802552,1,0
1060,2,61,47134.23,0,6.264097,17,2,1,1,0,155.0084,6115.01855,0,0
2680,1,86,55836.3,1,10.29493,9,1,0,1,0,184.9496,1179.381802,1,0
27981,6,80,43044.31,0,7.173629507,8,1,0,1,0,184.967019,1264.760574,0,1
54081,1,84,30511.85,1,6.796972,11,0,1,0,1,197.4702,1574.095143,1,0
332,3,43,31294.84,0,13.01594,11,2,0,0,1,147.4713,950.7941169,0,0
5401,4,40,36486.42,1,12.37242269,11,1,0,1,0,184.963371,2155.00052,1,0
197,1,72,61617.28,0,8.865023,8,1,1,0,0,182.4833,679.3728327,0,1
18249,1,41,59737.6,0,11.64449,14,1,0,0,1,174.9699,4553.786746,1,0
49894,1,27,40293.84,1,10.57626,10,0,0,0,1,207.4754,4676.648543,1,0
1136,1,86,54539.52,0,11.7083,12,2,0,0,0,125.0073,4711.062821,0,0
25244,0,50,4191.82,1,7.351756,10,1,0,1,1,220.1615,761.9185367,0,0
18828,1,28,28748.12,0,12.84371,14,2,0,1,0,152.4579,6690.800209,1,0
57,3,70,89882.52,1,7.462184,10,1,0,1,1,242.6143,1597.444059,0,1
139,4,34,48804.01,0,9.649844,9,1,1,0,1,162.4653,6839.025934,1,0
39649,5,68,43820.85,1,8.015021713,12,1,0,1,1,187.656013,1234.244324,0,0
144,1,40,45572.07,1,7.57603,10,0,0,1,1,240.1149,4435.063306,0,1
577,1,40,38810.68,1,11.36776,10,1,0,1,1,275.1336,4950.568297,0,1
29279,1,88,31333.08,0,8.943571,14,0,0,1,1,187.6422,4590.372724,0,0
13607,2,59,18081.88,1,7.033849177,9,2,1,1,1,277.651257,2115.879744,0,1
21408,3,88,11586.87,0,8.063335935,12,1,0,1,1,230.105118,1664.080114,0,1
9338,1,70,22812.0,1,8.735591454,14,2,0,1,1,207.638588,1044.435554,0,0
3052,4,44,13029.09,0,4.575379,9,1,1,1,0,174.9581,1821.752133,1,0
371,3,57,25408.07,1,15.88055,14,0,1,0,1,152.5022,716.6438092,0,0
1364,1,52,37438.69,1,10.95022,14,0,1,1,1,177.6508,753.8000793,0,0
3758,1,32,11091.57,1,7.74801,10,2,0,0,1,114.9658,560.5940436,0,0
556,1,40,21018.6,1,8.416539,15,1,0,1,1,187.6094,2006.605241,1,0
1926,1,85,38644.0,0,12.26333,13,1,0,0,1,147.4713,2626.362759,0,0
97,0,67,47375.49,0,11.62995,12,2,1,1,1,245.175,1704.872057,0,0
24198,4,86,37041.5,1,7.1113897,17,1,0,0,1,162.460772,1461.63461,1,0
29522,3,35,52984.07,1,7.37357,16,0,0,1,0,127.4586,1152.131327,0,0
2494,2,31,12061.92,0,10.94680764,6,0,0,0,0,144.960655,1014.854462,0,1
268,3,22,26532.74,1,9.608605,13,1,1,0,1,197.484,5888.954237,1,0
547,1,18,29822.31,1,11.72310409,14,1,0,0,1,147.442069,1727.882293,0,1
1169,3,79,55474.57,0,10.58398,14,2,0,0,1,194.9699,5766.226735,0,1
443,3,58,17580.86,0,12.16532,10,2,1,0,0,94.97283,5933.23425,1,0
7617,8,36,56815.09,1,13.01529,10,3,0,0,1,179.9476,1952.410832,0,1
9899,0,44,31656.24,1,11.49427,11,1,0,1,1,220.1149,4139.737424,1,0
4343,3,74,99699.68,0,11.36648,12,2,0,1,0,127.4586,5738.328374,0,0
3326,2,36,15745.22,0,11.52469,4,0,1,1,1,190.127,6024.749674,1,0
10185,4,23,28614.43,0,9.020448,14,0,0,0,0,159.983,3830.124693,0,1
1668,2,29,98425.53,0,5.646236,13,0,0,1,0,137.4684,5585.510396,0,0
6694,0,80,31155.68,1,7.499758,13,1,1,1,1,242.6326,1663.204506,0,1
6915,3,39,26310.0,1,5.4121,15,1,0,1,1,275.1336,4314.292516,0,1
3172,3,78,66146.86,1,12.05866555,17,2,1,1,0,132.479779,1524.801731,1,0
786,0,29,68487.6,1,10.62793,11,3,1,1,1,212.6557,1501.582551,0,0
1067,2,47,35476.64,0,7.915823,10,2,0,1,0,162.4713,5924.499555,0,1
1283,5,75,40402.71,0,6.136428,14,0,0,0,0,159.9794,1827.076857,1,0
185,3,76,61660.72,0,10.92713,13,0,0,0,0,124.9643,5402.984208,0,1
11923,3,26,2374.22,0,11.91761523,13,2,1,0,0,114.972827,551.1855922,0,1
33235,3,50,17201.71,0,10.99852,11,0,0,0,0,104.9781,4162.046301,1,0
752,1,51,49188.96,0,15.30265,13,0,0,1,0,159.9349,4995.058092,0,1
315,0,51,14364.65,1,9.03738856,11,2,1,0,0,160.00128,1296.674543,0,1
1182,7,39,61815.08,0,10.65972,10,1,1,0,1,162.4653,6771.506746,1,0
2238,0,59,34326.31,1,11.16606,5,1,0,1,0,162.4538,5413.975477,1,0
237,1,53,11645.59,0,14.09779,10,2,0,0,1,194.9992,6293.106347,0,0
13166,2,29,25834.35,0,7.862221,11,2,0,1,1,207.6094,4652.060129,0,1
3607,1,69,27714.04,0,5.960651,10,0,1,1,0,132.4798,6173.823033,1,0
20818,4,56,49800.1,0,11.35513416,11,3,0,1,1,230.105118,1103.594576,0,1
722,0,44,24202.12,0,10.36003643,14,0,1,1,0,197.494455,1136.118286,0,1
33661,1,76,21066.44,1,12.31061,12,1,0,1,1,200.1323,4646.487467,1,0
1098,0,80,15756.81,0,12.8013,8,0,0,1,0,149.9621,5953.077209,0,1
83179,0,87,57937.88,0,10.13562,18,2,1,0,0,150.007,5489.048081,0,0
6366,0,73,29249.18,0,6.479792672,13,0,0,0,0,179.979358,1232.913132,0,1
5622,1,71,113095.0,0,4.55702,14,1,1,1,1,245.1283,5507.49448,1,0
14119,0,37,13342.18,0,6.544685,11,0,0,1,0,139.9678,1175.07987,0,0
1410,4,85,13597.74,1,7.941608,12,2,0,0,1,194.9699,934.5432733,0,1
4613,2,54,18407.87,0,7.394425,18,1,0,1,0,137.4392,6003.619513,0,1
259,2,86,80536.9,1,13.15184,10,0,0,1,0,172.4871,1170.521193,0,0
1268,2,60,56186.38,0,10.17293,11,4,0,1,0,164.967,1206.589518,1,0
37,0,18,4397.39,0,11.2971,12,1,0,0,1,182.447,961.4048126,0,1
4242,1,82,19708.53,0,11.8722,13,2,0,1,0,172.4441,4343.616747,0,1
27998,1,79,41295.47,0,10.10572,16,2,0,1,0,117.472,5962.571357,0,0
29921,4,33,43426.86,0,9.023573,15,3,1,0,1,184.9785,1276.752415,0,1
